Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
121,Tower,361.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tower,,,,
122,Tower,340.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tower,,,,
123,Tower,305.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tower,,,,
124,Tower,118.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tower,,,,
125,NQX Grnd VHF,121.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Ground,,,,
126,NQX Grnd UHF,336.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Ground,,,,
127,Clearance De,121.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Clearance Delivery,,,,
128,Clearance De,357.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Clearance Delivery,,,,
129,NQX ATIS,307.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Automatic Terminal Information Service (ATIS),,,,
130,Approach/Dep,289.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Approach/Departure (340-069),,,,
131,Approach/Dep,126.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Approach/Departure (070-339),,,,
132,Approach/Dep,124.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Approach/Departure (340-069),,,,
133,NQX Advisory,313.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Advisory,,,,
134,Det 309.4,309.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Det,,,,
135,Det 377.5,377.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Det,,,,
136,Base Ops,338.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Base Ops,,,,
137,PMSV Metro,343.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,PMSV Metro,,,,
138,NQX ASOS,119.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Weather ASOS at EYW (4 Miles NW),,,,
139,RDR,350.800000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Radar,,,,
140,RDR,382.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Radar,,,,
141,NASKWBaseOps,338.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Base Operations,,,,
142,NASKW 382.0,382.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,NAS Key West,,,,
143,TrpnRng250.8,250.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tarpon Range,,,,
144,TrpnRng270.8,270.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tarpon Range,,,,
145,TrpnRng275.6,275.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tarpon Range,,,,
146,TrpnRng302.3,302.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tarpon Range,,,,
147,TrpnRng342.3,342.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Tarpon Range,,,,
148,TARPONCNTRL,377.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,TARPON CONTROL,,,,
149,Theater Sea,464.550000,,0.600000,TSQL,233.6,233.6,023,NN,023,Tone->Tone,FM,5.00,,50W,Theater of the Sea (Islamorada),,,,
150,DolphinRC,467.562500,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Dolphin Research Center,,,,
151,HawkCayResort D,461.900000,split,466.900000,DTCS,88.5,88.5,073,NN,073,Tone->Tone,NFM,5.00,,50W,Hawk's Cay Resort (Duck Key) - Maintenance/Housekeeping,,,,
152,HawkCayResort E,464.675000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Hawk's Cay Resort (Duck Key) - Voice Paging,,,,
153,Wyndham CMR D,463.900000,split,468.900000,DTCS,88.5,88.5,143,NN,143,Tone->Tone,NFM,5.00,,50W,Wyndham Casa Marina Resort (Key West),,,,
154,Wyndham CMR PG,464.800000,,0.600000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,Wyndham Casa Marina Resort (Key West) - Paging,,,,
155,Southernmost 1,452.750000,split,457.750000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Southernmost Hotel in the USA (Key West) Ops,,,,
156,Outdoor Resort,151.655000,,0.600000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,NFM,5.00,,50W,Outdoor Resorts (Long Key),,,,
157,Hyatt KeyWest B,464.375000,split,469.375000,DTCS,88.5,88.5,143,NN,143,Tone->Tone,NFM,5.00,,50W,Hyatt Key West Resort and Marina,,,,
158,Sunset Cottages,461.100000,split,466.100000,DTCS,88.5,88.5,162,NN,162,Tone->Tone,NFM,5.00,,50W,Sunset Key Cottages,,,,
159,Hilton KW Ops B,464.525000,,0.600000,DTCS,88.5,88.5,125,NN,125,Tone->Tone,NFM,5.00,,50W,Hilton Key West Resort and Marina,,,,
160,Sombrero Resort,464.550000,,0.600000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Sombrero Resort and Marina (Marathon),,,,
161,HawkCayResort C,461.075000,split,466.075000,DTCS,88.5,88.5,114,NN,114,Tone->Tone,NFM,5.00,,50W,Hawk's Cay Resort (Duck Key),,,,
162,Cheeca Lodge B,461.675000,split,466.675000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Cheeca Lodge (Islamorada),,,,
163,Cheeca Lodge C,452.125000,split,457.125000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,Cheeca Lodge (Islamorada),,,,
164,Cheeca Lodge D,452.700000,split,457.700000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,Cheeca Lodge (Islamorada) - Valet/Check-In,,,,
165,Hampton Inn  sa,464.500000,,0.600000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Hampton Inn (Islamorada),,,,
166,Holiday Inn KCB,461.137500,,0.600000,DTCS,88.5,88.5,265,NN,265,Tone->Tone,NFM,5.00,,50W,Holiday Inn (Key Colony Beach),,,,
167,Marina del Mar,464.275000,,0.600000,DTCS,88.5,88.5,731,NN,731,Tone->Tone,NFM,5.00,,50W,Marian del Mar Key Largo,,,,
168,Sunshine Key,151.685000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Sunshine Key RV Resort (Encore Park),,,,
169,FairfieldInn,467.925000,,0.600000,TSQL,179.9,179.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Fairfield Inn (Mile Marker 2),,,,
170,Coconut Mall,461.637500,split,466.637500,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Coconut Mallory Resort & Marina (Key West),,,,
171,Cheeca Lodge A,451.775000,split,456.775000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Cheeca Lodge (Islamorada),,,,
172,HawkCayResort A,464.175000,split,469.175000,DTCS,88.5,88.5,071,NN,071,Tone->Tone,NFM,5.00,,50W,Hawk's Cay Resort (Duck Key),,,,
173,Wyndham CMR A,462.500000,split,467.500000,DTCS,88.5,88.5,072,NN,072,Tone->Tone,NFM,5.00,,50W,Wyndham Casa Marina Resort (Key West),,,,
174,Blue Green 2,464.550000,,0.600000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,50W,Hammocks at Marathon,,,,
175,Wyndham CMR E,461.900000,split,466.900000,DTCS,88.5,88.5,047,NN,047,Tone->Tone,NFM,5.00,,50W,Wyndham Casa Marina Resort (Key West),,,,
176,Wyndham CMR C,463.500000,split,468.500000,DTCS,88.5,88.5,131,NN,131,Tone->Tone,NFM,5.00,,50W,Wyndham Casa Marina Resort (Key West),,,,
177,Hilton KW Ops A,462.012500,split,467.012500,DTCS,88.5,88.5,712,NN,712,Tone->Tone,NFM,5.00,,50W,Hilton Key West Resort and Marina,,,,
178,Wyndham CMR B,463.200000,split,468.200000,DTCS,88.5,88.5,115,NN,115,Tone->Tone,NFM,5.00,,50W,Wyndham Casa Marina Resort (Key West),,,,
179,Hyatt KeyWest A,464.375000,split,469.375000,DTCS,88.5,88.5,412,NN,412,Tone->Tone,NFM,5.00,,50W,Hyatt Key West Resort and Marina,,,,
180,Holiday Isle A,461.075000,split,466.075000,DTCS,88.5,88.5,114,NN,114,Tone->Tone,NFM,5.00,,50W,Holiday Isle Resort and Marina (Islamorada),,,,
